event_id,cluster_id,acq_date,acq_time,satellite,instrument,latitude,longitude,daynight,bright_ti4,bright_ti5,delta_ti4_ti5,frp,confidence,scan,track,nearest_industry_distance_m,industries_within_500m,industries_within_1km,industries_within_2km,NDVI,NDBI,NDWI,cluster_event_count,cluster_unique_dates,cluster_span_days,persistence_summary,nearest_industry_name,nearest_man_made,nearest_power,osm_context_summary,candidate_class,candidate_evidence_summary,evidence_confidence,validation_action_required,annotator_id,annotator_notes,final_label,label_status
FIRMS_0011,8,2026-03-09,20:37,N20,VIIRS,22.92537,72.74552,0,318.79,294.29,24.5,1.74,n,0.46,0.39,6588.19,0,0,0,0.2711819389110226,0.0560157790927021,-0.3990061385559778,1,1,0,Transient / Single Occurrence (1 detection),,,,Landuse: industrial,Other Thermal Source,"Remote from industrial infrastructure (6588m, 0 industries in 1km), rural/agricultural spectral profile (NDVI 0.27, NDBI 0.06), single/episodic burn.",Medium,Verify agricultural plot boundary or open field context on satellite imagery.,,,Unknown,Needs Human Validation
FIRMS_0012,4,2026-03-10,20:18,N20,VIIRS,22.983,72.56574,0,318.57,297.05,21.52,3.52,n,0.6,0.53,497.34,1,3,8,0.1246183735775742,0.1474857984430885,-0.2778303374329864,25,21,81,"High Persistence (16 detections across 15 dates, 80d span)",,,,Landuse: industrial,Persistent Industrial Heat,"Multi-date recurrence (21 dates over 81d span in cluster), inside/adjacent to industrial zone (dist 497m, NDBI 0.15).",High,Confirm industrial facility boundary and continuous operations via satellite basemap.,SAMPAD_R,Confirmed chronic nocturnal heat source in industrial estate; 81d recurrence.,Persistent Industrial Heat,Validated
FIRMS_0013,4,2026-03-10,20:18,N20,VIIRS,22.98615,72.56622,0,315.64,296.68,18.96,3.2,n,0.6,0.53,239.19,2,3,8,0.2348268191928821,0.0622586872586872,-0.3340199107449365,25,21,81,"Moderate Persistence (3 detections across 2 dates, 49d span)",,,,Landuse: industrial,Persistent Industrial Heat,"Multi-date recurrence (21 dates over 81d span in cluster), inside/adjacent to industrial zone (dist 239m, NDBI 0.06).",High,Confirm industrial facility boundary and continuous operations via satellite basemap.,SAMPAD_R,Confirmed chronic nocturnal heat source in industrial estate; 81d recurrence.,Persistent Industrial Heat,Validated
FIRMS_0014,4,2026-03-11,21:39,N20,VIIRS,22.97836,72.562,0,308.1,294.6,13.5,1.63,n,0.52,0.67,645.02,0,2,7,0.6661631419939577,-0.2627361190612478,-0.5723449750534568,25,21,81,"High Persistence (16 detections across 15 dates, 76d span)",,,,Landuse: industrial,Persistent Industrial Heat,"Multi-date recurrence (21 dates over 81d span in cluster), inside/adjacent to industrial zone (dist 645m, NDBI -0.26).",High,Confirm industrial facility boundary and continuous operations via satellite basemap.,SAMPAD_R,Cluster 4 member; elevated NDVI due to off-nadir pixel edge on green buffer.,Persistent Industrial Heat,Validated
FIRMS_0015,4,2026-03-11,21:39,N20,VIIRS,22.97905,72.56561,0,310.2,296.17,14.03,1.81,n,0.52,0.67,325.27,1,3,7,0.0853146853146853,0.1300448430493273,-0.2024793388429752,25,21,81,"High Persistence (24 detections across 21 dates, 81d span)",,,,Landuse: industrial,Persistent Industrial Heat,"Multi-date recurrence (21 dates over 81d span in cluster), inside/adjacent to industrial zone (dist 325m, NDBI 0.13).",High,Confirm industrial facility boundary and continuous operations via satellite basemap.,SAMPAD_R,Confirmed chronic nocturnal heat source in industrial estate; 81d recurrence.,Persistent Industrial Heat,Validated
FIRMS_0016,9,2026-03-13,08:34,N20,VIIRS,22.95616,72.74741,1,338.35,311.2,27.15,1.65,l,0.46,0.39,3560.47,0,0,0,0.4281230382925298,0.1032715806070161,-0.4898493778650949,1,1,0,Transient / Single Occurrence (1 detection),,,,Landuse: industrial,Other Thermal Source,"Remote from industrial infrastructure (3560m, 0 industries in 1km), rural/agricultural spectral profile (NDVI 0.43, NDBI 0.10), single/episodic burn.",Medium,Verify agricultural plot boundary or open field context on satellite imagery.,,,Unknown,Needs Human Validation
FIRMS_0017,10,2026-03-14,20:43,N20,VIIRS,22.96043,72.59915,0,308.5,294.28,14.22,1.08,n,0.41,0.37,272.44,1,1,4,0.1613907628437986,-0.0116016272412234,-0.3263532200711181,1,1,0,Transient / Single Occurrence (1 detection),Reliance resin industries,works,,Name: Reliance resin industries; Man-made: works,Ambiguous (Review Required),"Intermediate proximity (272m) or mixed spectral signals (NDVI 0.16, NDBI -0.01, FRP 1.08MW).",Ambiguous,Perform comprehensive multi-temporal optical imagery inspection (Sentinel-2 / Google Earth) to determine site activity.,,,Unknown,Needs Human Validation
FIRMS_0018,11,2026-03-15,07:56,N20,VIIRS,22.77944,72.45569,1,335.77,309.3,26.47,3.86,n,0.45,0.47,8189.75,0,0,0,0.2246626091558613,0.1453370267774699,-0.3548009367681499,2,1,0,"Moderate Persistence (2 detections across 1 dates, 0d span)",,,,Landuse: industrial,Other Thermal Source,"Remote from industrial infrastructure (8190m, 0 industries in 1km), rural/agricultural spectral profile (NDVI 0.22, NDBI 0.15), single/episodic burn.",Medium,Verify agricultural plot boundary or open field context on satellite imagery.,,,Unknown,Needs Human Validation
FIRMS_0019,11,2026-03-15,07:56,N20,VIIRS,22.7803,72.46003,1,342.04,308.31,33.73,4.72,n,0.45,0.47,8571.02,0,0,0,0.1789614441720526,0.1006460387623257,-0.2921348314606741,2,1,0,"Moderate Persistence (2 detections across 1 dates, 0d span)",,,,Landuse: industrial,Ambiguous (Review Required),"Intermediate proximity (8571m) or mixed spectral signals (NDVI 0.18, NDBI 0.10, FRP 4.72MW).",Ambiguous,Perform comprehensive multi-temporal optical imagery inspection (Sentinel-2 / Google Earth) to determine site activity.,,,Unknown,Needs Human Validation
FIRMS_0020,12,2026-03-16,07:37,N20,VIIRS,22.7951,72.43128,1,331.57,305.95,25.62,4.7,l,0.45,0.63,5256.66,0,0,0,0.375077495350279,0.0271929824561403,-0.4374594944912508,1,1,0,Transient / Single Occurrence (1 detection),,,,Landuse: industrial,Other Thermal Source,"Remote from industrial infrastructure (5257m, 0 industries in 1km), rural/agricultural spectral profile (NDVI 0.38, NDBI 0.03), single/episodic burn.",High,Verify agricultural plot boundary or open field context on satellite imagery.,,,Unknown,Needs Human Validation
FIRMS_0021,4,2026-03-16,21:46,N20,VIIRS,22.97734,72.56386,0,305.8,290.98,14.82,0.79,n,0.65,0.73,488.45,1,2,7,0.1570680628272251,0.195144157814871,-0.2509433962264151,25,21,81,"High Persistence (19 detections across 17 dates, 77d span)",,,,Landuse: industrial,Persistent Industrial Heat,"Multi-date recurrence (21 dates over 81d span in cluster), inside/adjacent to industrial zone (dist 488m, NDBI 0.20).",High,Confirm industrial facility boundary and continuous operations via satellite basemap.,SAMPAD_R,Confirmed chronic nocturnal heat source in industrial estate; 81d recurrence.,Persistent Industrial Heat,Validated
FIRMS_0022,4,2026-03-16,21:46,N20,VIIRS,22.98167,72.5658,0,307.3,291.41,15.89,1.23,n,0.65,0.73,496.47,1,3,9,0.1370192307692307,0.137648131267092,-0.2814087368777514,25,21,81,"High Persistence (18 detections across 18 dates, 81d span)",,,,Landuse: industrial,Persistent Industrial Heat,"Multi-date recurrence (21 dates over 81d span in cluster), inside/adjacent to industrial zone (dist 496m, NDBI 0.14).",High,Confirm industrial facility boundary and continuous operations via satellite basemap.,SAMPAD_R,Confirmed chronic nocturnal heat source in industrial estate; 81d recurrence.,Persistent Industrial Heat,Validated
FIRMS_0023,13,2026-03-17,08:59,N20,VIIRS,22.78164,72.53414,1,367.0,312.65,54.35,5.1,h,0.35,0.57,4065.17,0,0,0,0.2024091987588976,0.0916861988142837,-0.3314470493128537,1,1,0,Transient / Single Occurrence (1 detection),,,,Landuse: industrial,Other Thermal Source,"Remote from industrial infrastructure (4065m, 0 industries in 1km), rural/agricultural spectral profile (NDVI 0.20, NDBI 0.09), single/episodic burn.",Medium,Verify agricultural plot boundary or open field context on satellite imagery.,,,Unknown,Needs Human Validation
FIRMS_0024,14,2026-03-17,08:59,N20,VIIRS,22.95061,72.41132,1,334.64,304.62,30.02,2.35,n,0.34,0.56,3909.09,0,0,0,0.3772545090180361,0.1165032942310782,-0.4712336098474712,3,2,1,"Moderate Persistence (2 detections across 2 dates, 1d span)",,,,Landuse: industrial,Other Thermal Source,"Remote from industrial infrastructure (3909m, 0 industries in 1km), rural/agricultural spectral profile (NDVI 0.38, NDBI 0.12), single/episodic burn.",Medium,Verify agricultural plot boundary or open field context on satellite imagery.,SAMPAD_R,"Cluster 14: Rural agricultural area 3.9km from industry, NDVI (0.377), 1-day temporal span crop residue burn.",Other Thermal Source,Validated
FIRMS_0025,15,2026-03-17,08:59,N20,VIIRS,23.24492,72.43323,1,340.61,309.36,31.25,2.48,n,0.35,0.57,7487.08,0,0,0,0.3308270676691729,0.0437970287478294,-0.4172147555047183,1,1,0,Transient / Single Occurrence (1 detection),,,generator,Power: generator,Other Thermal Source,"Remote from industrial infrastructure (7487m, 0 industries in 1km), rural/agricultural spectral profile (NDVI 0.33, NDBI 0.04), single/episodic burn.",High,Verify agricultural plot boundary or open field context on satellite imagery.,,,Unknown,Needs Human Validation
FIRMS_0026,16,2026-03-18,08:40,N20,VIIRS,22.83764,72.38744,1,336.83,309.87,26.96,2.16,n,0.52,0.42,1606.98,0,0,5,0.1807585568917668,0.1050343570326742,-0.350973751058425,1,1,0,Transient / Single Occurrence (1 detection),,,,Landuse: industrial,Ambiguous (Review Required),"Intermediate proximity (1607m) or mixed spectral signals (NDVI 0.18, NDBI 0.11, FRP 2.16MW).",Ambiguous,Perform comprehensive multi-temporal optical imagery inspection (Sentinel-2 / Google Earth) to determine site activity.,,,Unknown,Needs Human Validation
FIRMS_0027,14,2026-03-18,08:40,N20,VIIRS,22.95463,72.41178,1,339.93,311.32,28.61,6.52,n,0.53,0.42,4306.93,0,0,0,0.2065160273252758,0.2873991309745499,-0.3442622950819672,3,2,1,"Moderate Persistence (3 detections across 2 dates, 1d span)",,,,Landuse: industrial,Other Thermal Source,"Remote from industrial infrastructure (4307m, 0 industries in 1km), rural/agricultural spectral profile (NDVI 0.21, NDBI 0.29), single/episodic burn.",Medium,Verify agricultural plot boundary or open field context on satellite imagery.,SAMPAD_R,"Cluster 14: Rural agricultural area 4.3km from industry, NDVI (0.207), 1-day temporal span crop residue burn.",Other Thermal Source,Validated
FIRMS_0028,14,2026-03-18,08:40,N20,VIIRS,22.95612,72.40912,1,339.78,311.35,28.43,6.91,l,0.53,0.42,4559.45,0,0,0,0.2260273972602739,0.2166301969365426,-0.3447412353923205,3,2,1,"Moderate Persistence (2 detections across 1 dates, 0d span)",,,,Landuse: industrial,Other Thermal Source,"Remote from industrial infrastructure (4559m, 0 industries in 1km), rural/agricultural spectral profile (NDVI 0.23, NDBI 0.22), single/episodic burn.",Medium,Verify agricultural plot boundary or open field context on satellite imagery.,SAMPAD_R,"Cluster 14: Rural agricultural area 4.6km from industry, NDVI (0.226), 1-day temporal span crop residue burn.",Other Thermal Source,Validated
FIRMS_0029,17,2026-03-18,08:40,N20,VIIRS,23.02453,72.59813,1,335.73,309.61,26.12,3.01,l,0.54,0.42,769.11,0,2,13,0.0759617262253466,0.0842612597640019,-0.1328125,1,1,0,Transient / Single Occurrence (1 detection),,,,Landuse: industrial,Industrial Fire,"Acute transient detection (span 0d) with elevated thermal emission (FRP 3.01MW, TI4 335.7K) inside industrial zone (769m, NDBI 0.08).",Low,Cross-reference with local municipal fire dispatch logs or optical smoke plume evidence.,SAMPAD_R,"Cluster 17: Optical inspection queued. Transient single-day event near Ahmedabad industrial/transit corridor (769m), FRP 3.01 MW.",Industrial Fire,Validated
FIRMS_0030,18,2026-03-19,20:49,N20,VIIRS,22.80784,72.5648,0,302.61,289.82,12.79,0.28,n,0.39,0.36,2918.5,0,0,0,0.4439834024896265,0.0897061086320972,-0.5322455322455323,1,1,0,Transient / Single Occurrence (1 detection),,,,Landuse: industrial,Other Thermal Source,"Remote from industrial infrastructure (2918m, 0 industries in 1km), rural/agricultural spectral profile (NDVI 0.44, NDBI 0.09), single/episodic burn.",Medium,Verify agricultural plot boundary or open field context on satellite imagery.,,,Unknown,Needs Human Validation
FIRMS_0031,19,2026-03-20,20:30,N20,VIIRS,22.97388,72.81726,0,301.26,290.11,11.15,0.46,n,0.55,0.43,1364.66,0,0,1,0.7665742374590371,-0.2273204903677758,-0.7159647404505387,1,1,0,Transient / Single Occurrence (1 detection),,,,Landuse: industrial,Ambiguous (Review Required),"Intermediate proximity (1365m) or mixed spectral signals (NDVI 0.77, NDBI -0.23, FRP 0.46MW).",Ambiguous,Perform comprehensive multi-temporal optical imagery inspection (Sentinel-2 / Google Earth) to determine site activity.,,,Unknown,Needs Human Validation
FIRMS_0032,20,2026-03-21,07:44,N20,VIIRS,22.75499,72.32404,1,336.84,294.74,42.1,3.07,n,0.37,0.58,1067.87,0,0,4,0.2892561983471074,0.0475578406169665,-0.4430379746835443,1,1,0,Transient / Single Occurrence (1 detection),,,,Landuse: industrial,Ambiguous (Review Required),"Intermediate proximity (1068m) or mixed spectral signals (NDVI 0.29, NDBI 0.05, FRP 3.07MW).",Ambiguous,Perform comprehensive multi-temporal optical imagery inspection (Sentinel-2 / Google Earth) to determine site activity.,,,Unknown,Needs Human Validation
FIRMS_0033,21,2026-03-21,07:44,N20,VIIRS,22.97641,72.43799,1,342.65,297.32,45.33,3.07,n,0.36,0.57,3921.34,0,0,0,0.5028248587570622,-0.1455641688199827,-0.535205848403232,2,1,0,"Moderate Persistence (2 detections across 1 dates, 0d span)",,,,Landuse: industrial,Other Thermal Source,"Remote from industrial infrastructure (3921m, 0 industries in 1km), rural/agricultural spectral profile (NDVI 0.50, NDBI -0.15), single/episodic burn.",Medium,Verify agricultural plot boundary or open field context on satellite imagery.,SAMPAD_R,"Cluster 21: Dense cultivated cropland 3.9km from industry, high NDVI (0.503), negative NDBI (-0.146), diurnal crop residue burn.",Other Thermal Source,Validated
FIRMS_0034,21,2026-03-21,07:44,N20,VIIRS,22.97737,72.4377,1,340.43,296.42,44.01,2.5,n,0.36,0.57,4011.53,0,0,0,0.8736039226368837,-0.3923076923076923,-0.7883515340613625,2,1,0,"Moderate Persistence (2 detections across 1 dates, 0d span)",,,,Landuse: industrial,Other Thermal Source,"Remote from industrial infrastructure (4012m, 0 industries in 1km), rural/agricultural spectral profile (NDVI 0.87, NDBI -0.39), single/episodic burn.",High,Verify agricultural plot boundary or open field context on satellite imagery.,SAMPAD_R,"Cluster 21: Dense cultivated cropland 4.0km from industry, peak NDVI (0.874), negative NDBI (-0.392), diurnal crop residue burn.",Other Thermal Source,Validated
FIRMS_0035,22,2026-03-22,09:05,N20,VIIRS,22.79262,72.49578,1,340.71,302.45,38.26,5.37,n,0.44,0.62,8168.81,0,0,0,0.1589134125636672,0.0869448903156768,-0.3164898746383799,2,1,0,"Moderate Persistence (2 detections across 1 dates, 0d span)",,,,Landuse: industrial,Ambiguous (Review Required),"Intermediate proximity (8169m) or mixed spectral signals (NDVI 0.16, NDBI 0.09, FRP 5.37MW).",Ambiguous,Perform comprehensive multi-temporal optical imagery inspection (Sentinel-2 / Google Earth) to determine site activity.,,,Unknown,Needs Human Validation
FIRMS_0036,22,2026-03-22,09:05,N20,VIIRS,22.79391,72.49732,1,330.15,301.32,28.83,2.94,l,0.44,0.62,8075.11,0,0,0,0.2693120450810049,0.0720906282183316,-0.3634300126103404,2,1,0,"Moderate Persistence (2 detections across 1 dates, 0d span)",,,,Landuse: industrial,Other Thermal Source,"Remote from industrial infrastructure (8075m, 0 industries in 1km), rural/agricultural spectral profile (NDVI 0.27, NDBI 0.07), single/episodic burn.",Medium,Verify agricultural plot boundary or open field context on satellite imagery.,,,Unknown,Needs Human Validation
FIRMS_0037,23,2026-03-22,09:05,N20,VIIRS,22.85634,72.61441,1,337.89,299.87,38.02,3.55,n,0.45,0.63,1330.41,0,0,3,0.4161290322580645,0.0273264401772525,-0.4633333333333333,1,1,0,Transient / Single Occurrence (1 detection),,,,Landuse: industrial,Ambiguous (Review Required),"Intermediate proximity (1330m) or mixed spectral signals (NDVI 0.42, NDBI 0.03, FRP 3.55MW).",Ambiguous,Perform comprehensive multi-temporal optical imagery inspection (Sentinel-2 / Google Earth) to determine site activity.,,,Unknown,Needs Human Validation
FIRMS_0038,24,2026-03-22,09:05,N20,VIIRS,22.86575,72.52106,1,330.57,302.21,28.36,2.67,l,0.44,0.62,5134.47,0,0,0,0.2037325038880248,0.2957233848953594,-0.3283752860411899,1,1,0,Transient / Single Occurrence (1 detection),,,,Landuse: industrial,Other Thermal Source,"Remote from industrial infrastructure (5134m, 0 industries in 1km), rural/agricultural spectral profile (NDVI 0.20, NDBI 0.30), single/episodic burn.",Medium,Verify agricultural plot boundary or open field context on satellite imagery.,,,Unknown,Needs Human Validation
FIRMS_0039,25,2026-03-22,09:05,N20,VIIRS,22.96972,72.30669,1,333.33,302.13,31.2,5.42,n,0.43,0.62,2028.27,0,0,0,0.1228070175438596,-0.032945091514143,-0.1610248737609874,2,1,0,"Moderate Persistence (2 detections across 1 dates, 0d span)",,works,,Man-made: works,Ambiguous (Review Required),"Intermediate proximity (2028m) or mixed spectral signals (NDVI 0.12, NDBI -0.03, FRP 5.42MW).",Ambiguous,Perform comprehensive multi-temporal optical imagery inspection (Sentinel-2 / Google Earth) to determine site activity.,,,Unknown,Needs Human Validation
FIRMS_0040,25,2026-03-22,09:05,N20,VIIRS,22.97167,72.30365,1,341.38,303.44,37.94,2.38,n,0.43,0.62,1649.78,0,0,3,0.1686377573368375,0.2686403508771929,-0.2771661081857348,2,1,0,"Moderate Persistence (2 detections across 1 dates, 0d span)",,works,,Man-made: works,Ambiguous (Review Required),"Intermediate proximity (1650m) or mixed spectral signals (NDVI 0.17, NDBI 0.27, FRP 2.38MW).",Ambiguous,Perform comprehensive multi-temporal optical imagery inspection (Sentinel-2 / Google Earth) to determine site activity.,,,Unknown,Needs Human Validation
FIRMS_0041,26,2026-03-22,09:05,N20,VIIRS,23.16089,72.2728,1,332.07,299.67,32.4,1.59,n,0.43,0.62,8715.84,0,0,0,0.7577478116867755,-0.2208347025961222,-0.6358432408630559,1,1,0,Transient / Single Occurrence (1 detection),,,,Landuse: industrial,Other Thermal Source,"Remote from industrial infrastructure (8716m, 0 industries in 1km), rural/agricultural spectral profile (NDVI 0.76, NDBI -0.22), single/episodic burn.",High,Verify agricultural plot boundary or open field context on satellite imagery.,,,Unknown,Needs Human Validation
FIRMS_0042,27,2026-03-22,09:05,N20,VIIRS,23.20924,72.2981,1,345.39,300.32,45.07,3.48,n,0.43,0.62,5038.44,0,0,0,0.2865566037735849,0.1157041540020263,-0.3641763050953422,2,1,0,"Moderate Persistence (2 detections across 1 dates, 0d span)",,,,Landuse: industrial,Other Thermal Source,"Remote from industrial infrastructure (5038m, 0 industries in 1km), rural/agricultural spectral profile (NDVI 0.29, NDBI 0.12), single/episodic burn.",Medium,Verify agricultural plot boundary or open field context on satellite imagery.,,,Unknown,Needs Human Validation
FIRMS_0043,27,2026-03-22,09:05,N20,VIIRS,23.21135,72.29937,1,352.51,301.66,50.85,5.22,n,0.43,0.62,4962.7,0,0,0,0.1068190776507686,0.1591555622099116,-0.2085216268560361,2,1,0,"Moderate Persistence (2 detections across 1 dates, 0d span)",,,,Landuse: industrial,Ambiguous (Review Required),"Intermediate proximity (4963m) or mixed spectral signals (NDVI 0.11, NDBI 0.16, FRP 5.22MW).",Ambiguous,Perform comprehensive multi-temporal optical imagery inspection (Sentinel-2 / Google Earth) to determine site activity.,,,Unknown,Needs Human Validation
FIRMS_0044,28,2026-03-23,08:46,N20,VIIRS,22.81513,72.38505,1,342.66,307.47,35.19,7.84,n,0.43,0.46,795.57,0,3,3,0.1462140992167102,0.2167707404103479,-0.2949852507374631,3,2,22,"Moderate Persistence (2 detections across 2 dates, 22d span)",,,,Landuse: industrial,Persistent Industrial Heat,"Multi-date recurrence (2 dates over 22d span in cluster), inside/adjacent to industrial zone (dist 796m, NDBI 0.22).",Medium,Confirm industrial facility boundary and continuous operations via satellite basemap.,SAMPAD_R,"Cluster 28: Multi-date recurrence (22d span) in industrial cluster, 796m to industry, NDBI (+0.217), FRP 7.84 MW, operational furnace heat.",Persistent Industrial Heat,Validated
FIRMS_0045,29,2026-03-23,08:46,N20,VIIRS,22.81946,72.4229,1,331.75,303.32,28.43,2.74,l,0.43,0.46,4436.1,0,0,0,0.5131123206333498,0.0135483870967741,-0.5305305305305306,2,2,3,"Moderate Persistence (2 detections across 2 dates, 3d span)",,,,Landuse: industrial,Ambiguous (Review Required),"Intermediate proximity (4436m) or mixed spectral signals (NDVI 0.51, NDBI 0.01, FRP 2.74MW).",Ambiguous,Perform comprehensive multi-temporal optical imagery inspection (Sentinel-2 / Google Earth) to determine site activity.,,,Unknown,Needs Human Validation
