event_id,cluster_id,candidate_class,thermal_evidence,temporal_evidence,industrial_spatial_evidence,satellite_evidence,final_recommendation,confidence,review_status
FIRMS_0125,86,Other Thermal Source,"TI4=340.1K, TI5=313.0K, DeltaT=27.1K, FRP=3.50MW (Day)",Cluster 86: 1 date(s) over 0d span (Acq: 2026-04-22),"Dist=4062m (no mapped OSM facility), Count: 500m=0, 1km=0, 2km=0","Sentinel-2: NDVI=0.233, NDBI=0.042, NDWI=-0.311",Other Thermal Source,High,Needs Human Validation
FIRMS_0126,86,Other Thermal Source,"TI4=343.4K, TI5=312.9K, DeltaT=30.4K, FRP=3.64MW (Day)",Cluster 86: 1 date(s) over 0d span (Acq: 2026-04-22),"Dist=4139m (no mapped OSM facility), Count: 500m=0, 1km=0, 2km=0","Sentinel-2: NDVI=0.533, NDBI=-0.127, NDWI=-0.543",Other Thermal Source,High,Needs Human Validation
FIRMS_0140,94,Persistent Industrial Heat,"TI4=313.3K, TI5=299.1K, DeltaT=14.3K, FRP=2.05MW (Night)",Cluster 94: 2 date(s) over 26d span (Acq: 2026-04-26),"Dist=494m (no mapped OSM facility), Count: 500m=1, 1km=1, 2km=2","Sentinel-2: NDVI=0.577, NDBI=-0.125, NDWI=-0.562",Persistent Industrial Heat,High,Needs Human Validation
FIRMS_0146,97,Industrial Fire,"TI4=348.1K, TI5=312.0K, DeltaT=36.1K, FRP=9.26MW (Day)",Cluster 97: 1 date(s) over 0d span (Acq: 2026-04-29),"Dist=622m (no mapped OSM facility), Count: 500m=0, 1km=1, 2km=6","Sentinel-2: NDVI=0.053, NDBI=0.072, NDWI=-0.132",Industrial Fire,High,Needs Human Validation
FIRMS_0147,97,Industrial Fire,"TI4=343.6K, TI5=311.1K, DeltaT=32.6K, FRP=5.51MW (Day)",Cluster 97: 1 date(s) over 0d span (Acq: 2026-04-29),"Dist=803m (no mapped OSM facility), Count: 500m=0, 1km=1, 2km=7","Sentinel-2: NDVI=0.032, NDBI=0.044, NDWI=-0.094",Industrial Fire,High,Needs Human Validation
FIRMS_0152,101,Gas Flare,"TI4=345.4K, TI5=312.1K, DeltaT=33.3K, FRP=7.03MW (Day)",Cluster 101: 2 date(s) over 10d span (Acq: 2026-05-07),"Dist=670m (no mapped OSM facility), Count: 500m=0, 1km=9, 2km=25","Sentinel-2: NDVI=0.232, NDBI=0.006, NDWI=-0.290",Gas Flare,High,Needs Human Validation
FIRMS_0156,104,Industrial Fire,"TI4=341.5K, TI5=313.0K, DeltaT=28.5K, FRP=2.34MW (Day)",Cluster 104: 1 date(s) over 0d span (Acq: 2026-05-09),"Dist=846m (no mapped OSM facility), Count: 500m=0, 1km=1, 2km=2","Sentinel-2: NDVI=0.173, NDBI=0.201, NDWI=-0.294",Industrial Fire,Medium,Needs Human Validation
FIRMS_0170,101,Gas Flare,"TI4=319.8K, TI5=298.5K, DeltaT=21.3K, FRP=1.51MW (Night)",Cluster 101: 2 date(s) over 10d span (Acq: 2026-05-17),"Dist=427m (no mapped OSM facility), Count: 500m=1, 1km=4, 2km=24","Sentinel-2: NDVI=0.180, NDBI=0.135, NDWI=-0.299",Gas Flare,High,Needs Human Validation
FIRMS_0173,74,Gas Flare / Persistent Heat (Conflict),"TI4=367.0K, TI5=311.4K, DeltaT=55.6K, FRP=8.89MW (Day)",Cluster 74: 2 date(s) over 39d span (Acq: 2026-05-19),"Dist=521m (no mapped OSM facility), Count: 500m=0, 1km=5, 2km=9","Sentinel-2: NDVI=0.069, NDBI=0.175, NDWI=-0.135",Unknown,Medium,Flagged for Senior Review
FIRMS_0174,74,Gas Flare / Persistent Heat (Conflict),"TI4=367.0K, TI5=311.6K, DeltaT=55.4K, FRP=11.29MW (Day)",Cluster 74: 2 date(s) over 39d span (Acq: 2026-05-19),"Dist=488m (no mapped OSM facility), Count: 500m=1, 1km=5, 2km=9","Sentinel-2: NDVI=0.056, NDBI=0.061, NDWI=-0.120",Unknown,Medium,Flagged for Senior Review
FIRMS_0183,94,Persistent Industrial Heat,"TI4=312.2K, TI5=298.8K, DeltaT=13.4K, FRP=0.76MW (Night)",Cluster 94: 2 date(s) over 26d span (Acq: 2026-05-22),"Dist=512m (no mapped OSM facility), Count: 500m=0, 1km=1, 2km=2","Sentinel-2: NDVI=0.138, NDBI=0.052, NDWI=-0.192",Persistent Industrial Heat,High,Needs Human Validation
FIRMS_0187,126,Other Thermal Source,"TI4=337.8K, TI5=308.2K, DeltaT=29.6K, FRP=4.08MW (Day)",Cluster 126: 2 date(s) over 1d span (Acq: 2026-05-25),"Dist=6916m (no mapped OSM facility), Count: 500m=0, 1km=0, 2km=0","Sentinel-2: NDVI=0.200, NDBI=0.174, NDWI=-0.352",Other Thermal Source,High,Needs Human Validation
FIRMS_0188,126,Other Thermal Source,"TI4=344.9K, TI5=308.3K, DeltaT=36.6K, FRP=5.45MW (Day)",Cluster 126: 2 date(s) over 1d span (Acq: 2026-05-25),"Dist=6891m (no mapped OSM facility), Count: 500m=0, 1km=0, 2km=0","Sentinel-2: NDVI=0.330, NDBI=0.024, NDWI=-0.401",Other Thermal Source,High,Needs Human Validation
FIRMS_0191,126,Other Thermal Source,"TI4=342.8K, TI5=316.2K, DeltaT=26.5K, FRP=0.99MW (Day)",Cluster 126: 2 date(s) over 1d span (Acq: 2026-05-26),"Dist=6855m (no mapped OSM facility), Count: 500m=0, 1km=0, 2km=0","Sentinel-2: NDVI=0.334, NDBI=-0.037, NDWI=-0.435",Other Thermal Source,High,Needs Human Validation
