event_id,latitude,longitude,acq_datetime,FRP,bright_ti4,bright_ti5,delta_t,distance_to_industry,NDVI,NDBI,NDWI,daynight,industries_within_500m,industries_within_1km,industries_within_2km,cluster_id,cluster_event_count,cluster_unique_dates,cluster_span_days,final_label
FIRMS_0027,22.95463,72.41178,2026-03-18 08:40,6.52,339.93,311.32,28.61,4306.93,0.2065160273252758,0.2873991309745499,-0.3442622950819672,1,0,0,0,14,3,2,1,Other Thermal Source
FIRMS_0028,22.95612,72.40912,2026-03-18 08:40,6.91,339.78,311.35,28.43,4559.45,0.2260273972602739,0.2166301969365426,-0.3447412353923205,1,0,0,0,14,3,2,1,Other Thermal Source
FIRMS_0029,23.02453,72.59813,2026-03-18 08:40,3.01,335.73,309.61,26.12,769.11,0.0759617262253466,0.0842612597640019,-0.1328125,1,0,2,13,17,1,1,0,Industrial Fire
FIRMS_0033,22.97641,72.43799,2026-03-21 07:44,3.07,342.65,297.32,45.33,3921.34,0.5028248587570622,-0.1455641688199827,-0.535205848403232,1,0,0,0,21,2,1,0,Other Thermal Source
FIRMS_0034,22.97737,72.4377,2026-03-21 07:44,2.5,340.43,296.42,44.01,4011.53,0.8736039226368837,-0.3923076923076923,-0.7883515340613625,1,0,0,0,21,2,1,0,Other Thermal Source
FIRMS_0044,22.81513,72.38505,2026-03-23 08:46,7.84,342.66,307.47,35.19,795.57,0.1462140992167102,0.2167707404103479,-0.2949852507374631,1,0,3,3,28,3,2,22,Persistent Industrial Heat
FIRMS_0052,22.97839,72.56555,2026-03-23 21:14,1.32,312.46,290.99,21.47,312.77,0.0734664764621968,0.1504374823595822,-0.1734892787524366,0,1,3,7,4,25,21,81,Persistent Industrial Heat
FIRMS_0063,22.98062,72.56441,2026-03-27 21:39,1.5,305.97,294.65,11.32,516.34,0.1273854961832061,0.1427534917467803,-0.2680440032197478,0,0,4,9,4,25,21,81,Persistent Industrial Heat
FIRMS_0094,22.98144,72.56304,2026-04-07 21:33,0.88,304.68,291.02,13.66,683.64,0.5050505050505051,-0.0551006859924762,-0.5017322834645669,0,0,3,9,4,25,21,81,Persistent Industrial Heat
FIRMS_0098,22.97749,72.56292,2026-04-08 21:15,0.98,310.99,293.68,17.31,582.15,0.1602708803611738,0.1490066225165563,-0.3160204828090709,0,0,2,7,4,25,21,81,Persistent Industrial Heat
FIRMS_0100,22.98868,72.41434,2026-04-09 08:28,4.41,337.69,310.07,27.62,5058.6,0.8027228358592345,-0.2734530938123752,-0.7255962626014261,1,0,0,0,70,2,1,0,Other Thermal Source
FIRMS_0101,22.98924,72.41818,2026-04-09 08:28,4.41,337.68,306.25,31.43,5253.21,0.0221995406991579,-0.0531019978969505,-0.0633045786330457,1,0,0,0,70,2,1,0,Other Thermal Source
FIRMS_0110,22.81889,72.38586,2026-04-14 08:34,13.4,350.82,324.0,26.82,1179.34,0.2433554817275747,0.1570945945945946,-0.3300755219902265,1,0,0,3,28,3,2,22,Persistent Industrial Heat
FIRMS_0111,22.81947,72.39011,2026-04-14 08:34,17.01,347.22,320.52,26.7,1502.4,0.3676688023656974,0.020818630910374,-0.4411841080238899,1,0,0,3,28,3,2,22,Persistent Industrial Heat
FIRMS_0116,22.78016,72.34639,2026-04-18 08:59,3.28,344.44,312.61,31.83,883.66,0.1714129244249726,0.1946536144578313,-0.2920567804288734,1,0,1,6,81,2,2,2,Industrial Fire
FIRMS_0119,22.97871,72.56477,2026-04-18 21:27,1.14,305.85,295.17,10.68,397.67,0.0886524822695035,0.1057384212059423,-0.2048665620094191,0,1,3,7,4,25,21,81,Persistent Industrial Heat
FIRMS_0120,22.7823,72.3466,2026-04-20 08:21,27.49,342.18,313.57,28.61,1110.4,0.4143322475570032,0.1284624648735447,-0.4673876309564042,1,0,0,5,81,2,2,2,Industrial Fire
FIRMS_0121,22.97903,72.56763,2026-04-20 20:49,1.32,312.07,297.3,14.77,149.8,0.1230502599653379,0.1268527430221366,-0.2458115902224663,0,1,2,7,4,25,21,81,Persistent Industrial Heat
FIRMS_0125,22.92417,72.51684,2026-04-22 07:44,3.5,340.06,312.98,27.08,4061.98,0.2332170880557977,0.0416666666666666,-0.310632383599722,1,0,0,0,86,2,1,0,Other Thermal Source
FIRMS_0126,22.92444,72.51591,2026-04-22 07:44,3.64,343.38,312.95,30.43,4139.34,0.5329525483304042,-0.1273021001615508,-0.5434638354346384,1,0,0,0,86,2,1,0,Other Thermal Source
FIRMS_0131,22.97618,72.56326,2026-04-23 21:33,1.59,309.33,297.01,12.32,525.2,0.1707317073170731,0.1532307692307692,-0.3001574803149606,0,0,2,7,4,25,21,81,Persistent Industrial Heat
FIRMS_0136,22.97655,72.56552,2026-04-24 21:15,1.76,312.71,298.03,14.68,351.32,0.1594014313597918,0.1500119246362986,-0.2765042979942693,0,1,2,7,4,25,21,81,Persistent Industrial Heat
FIRMS_0137,22.9806,72.56644,2026-04-24 21:15,1.76,318.14,297.65,20.49,361.96,0.157010428736964,0.1773429454170957,-0.3014011078527207,0,1,3,8,4,25,21,81,Persistent Industrial Heat
FIRMS_0139,22.96237,72.54801,2026-04-25 08:28,21.37,347.21,321.77,25.44,1059.3,0.0929811866859623,0.0762880293533098,-0.2127659574468085,1,0,0,5,3,4,3,54,Persistent Industrial Heat
FIRMS_0140,23.01382,72.33582,2026-04-26 20:37,2.05,313.33,299.05,14.28,494.09,0.5768339768339769,-0.1248622842453176,-0.5615600305888351,0,1,1,2,94,2,2,26,Persistent Industrial Heat
FIRMS_0142,22.95882,72.54778,2026-04-27 07:50,11.94,345.27,316.52,28.75,1043.21,0.1389424106187112,0.114513981358189,-0.2517647058823529,1,0,0,5,3,4,3,54,Persistent Industrial Heat
FIRMS_0143,22.96,72.54593,2026-04-27 07:50,12.1,341.37,315.54,25.83,1247.26,0.1371601208459214,0.2283722837228372,-0.2559225892559226,1,0,0,4,3,4,3,54,Persistent Industrial Heat
FIRMS_0145,22.98177,72.56716,2026-04-28 21:40,2.39,306.99,295.07,11.92,442.54,0.1396309556595979,0.1807562858839833,-0.2635114503816794,0,1,3,9,4,25,21,81,Persistent Industrial Heat
FIRMS_0146,23.01806,72.67479,2026-04-29 08:53,9.26,348.11,312.04,36.07,622.45,0.0531590413943355,0.0718125960061444,-0.1320843091334894,1,0,1,6,97,2,1,0,Industrial Fire
FIRMS_0147,23.0193,72.672,2026-04-29 08:53,5.51,343.64,311.06,32.58,802.52,0.0319148936170212,0.0438303115648653,-0.0938380990737011,1,0,1,7,97,2,1,0,Industrial Fire
FIRMS_0150,22.9789,72.56432,2026-05-04 21:27,1.57,311.47,295.65,15.82,447.25,0.1367682762341516,0.1473087818696883,-0.2715751357875678,0,1,3,7,4,25,21,81,Persistent Industrial Heat
FIRMS_0152,23.02414,72.26765,2026-05-07 08:03,7.03,345.41,312.14,33.27,670.05,0.231791221826809,0.0063157894736842,-0.2899378881987577,1,0,9,25,101,2,2,10,Gas Flare
FIRMS_0156,22.80109,72.33934,2026-05-09 09:05,2.34,341.48,313.0,28.48,846.06,0.1726773346071172,0.2011064106736088,-0.2938076416337286,1,0,1,2,104,1,1,0,Industrial Fire
FIRMS_0157,22.97745,72.56644,2026-05-09 21:33,0.54,309.65,297.31,12.34,226.56,0.0472440944881889,0.10828025477707,-0.1280746395250212,0,1,2,7,4,25,21,81,Persistent Industrial Heat
FIRMS_0160,22.97958,72.56837,2026-05-11 20:56,0.62,312.38,300.23,12.15,176.84,0.1505728314238952,0.2052006783493499,-0.2689530685920577,0,1,3,8,4,25,21,81,Persistent Industrial Heat
FIRMS_0164,22.97653,72.56532,2026-05-14 21:40,0.78,308.48,295.55,12.93,370.66,0.1639471639471639,0.1246591351772497,-0.2876790830945558,0,1,2,7,4,25,21,81,Persistent Industrial Heat
FIRMS_0170,23.02804,72.26569,2026-05-17 20:43,1.51,319.84,298.52,21.32,426.59,0.1795952782462057,0.1353522867737948,-0.2986771872824321,0,1,4,24,101,2,2,10,Gas Flare
FIRMS_0178,22.98005,72.5644,2026-05-20 21:27,2.5,306.34,295.51,10.83,484.5,0.1195219123505976,0.1244590617967803,-0.2366748166259168,0,1,4,8,4,25,21,81,Persistent Industrial Heat
FIRMS_0183,23.01477,72.3363,2026-05-22 20:50,0.76,312.2,298.79,13.41,512.36,0.1383116883116883,0.0524324324324324,-0.1921115266916015,0,0,1,2,94,2,2,26,Persistent Industrial Heat
FIRMS_0187,22.94851,72.34847,2026-05-25 09:06,4.08,337.81,308.23,29.58,6915.93,0.1996047430830039,0.1738124404518851,-0.3515920730349588,1,0,0,0,126,3,2,1,Other Thermal Source
FIRMS_0188,22.94888,72.35261,2026-05-25 09:06,5.45,344.88,308.26,36.62,6890.51,0.3300995659943834,0.0243445692883895,-0.4005376344086021,1,0,0,0,126,3,2,1,Other Thermal Source
FIRMS_0190,22.9794,72.56454,2026-05-25 21:34,0.98,315.95,297.46,18.49,441.64,0.1176321780925879,0.1565483008781978,-0.2413599325653273,0,1,4,7,4,25,21,81,Persistent Industrial Heat
FIRMS_0191,22.94755,72.34718,2026-05-26 08:47,0.99,342.75,316.25,26.5,6854.71,0.3337631635503976,-0.0372722714357345,-0.4345815996301433,1,0,0,0,126,3,2,1,Other Thermal Source
FIRMS_0193,22.97887,72.56647,2026-05-26 21:15,1.2,319.96,299.42,20.54,236.15,0.0448791714614499,0.1042420256494574,-0.1136549468520032,0,1,3,7,4,25,21,81,Persistent Industrial Heat
FIRMS_0197,22.97866,72.56733,2026-05-27 20:56,0.54,315.96,300.19,15.77,146.93,0.0769927536231884,0.1380935121420804,-0.159434422233057,0,1,2,7,4,25,21,81,Persistent Industrial Heat
