event_id,bright_ti4,bright_ti5,frp,confidence,scan,track,daynight,nearest_industry_distance_m,industries_within_500m,industries_within_1km,industries_within_2km,NDVI,NDBI,NDWI
FIRMS_0031,301.26,290.11,0.46,n,0.55,0.43,0,1364.66,0,0,1,0.7665742374590371,-0.2273204903677758,-0.7159647404505387
FIRMS_0032,336.84,294.74,3.07,n,0.37,0.58,1,1067.87,0,0,4,0.2892561983471074,0.0475578406169665,-0.4430379746835443
FIRMS_0033,342.65,297.32,3.07,n,0.36,0.57,1,3921.34,0,0,0,0.5028248587570622,-0.1455641688199827,-0.535205848403232
FIRMS_0034,340.43,296.42,2.5,n,0.36,0.57,1,4011.53,0,0,0,0.8736039226368837,-0.3923076923076923,-0.7883515340613625
FIRMS_0035,340.71,302.45,5.37,n,0.44,0.62,1,8168.81,0,0,0,0.1589134125636672,0.0869448903156768,-0.3164898746383799
FIRMS_0036,330.15,301.32,2.94,l,0.44,0.62,1,8075.11,0,0,0,0.2693120450810049,0.0720906282183316,-0.3634300126103404
FIRMS_0037,337.89,299.87,3.55,n,0.45,0.63,1,1330.41,0,0,3,0.4161290322580645,0.0273264401772525,-0.4633333333333333
FIRMS_0038,330.57,302.21,2.67,l,0.44,0.62,1,5134.47,0,0,0,0.2037325038880248,0.2957233848953594,-0.3283752860411899
FIRMS_0039,333.33,302.13,5.42,n,0.43,0.62,1,2028.27,0,0,0,0.1228070175438596,-0.032945091514143,-0.1610248737609874
FIRMS_0040,341.38,303.44,2.38,n,0.43,0.62,1,1649.78,0,0,3,0.1686377573368375,0.2686403508771929,-0.2771661081857348
FIRMS_0041,332.07,299.67,1.59,n,0.43,0.62,1,8715.84,0,0,0,0.7577478116867755,-0.2208347025961222,-0.6358432408630559
FIRMS_0042,345.39,300.32,3.48,n,0.43,0.62,1,5038.44,0,0,0,0.2865566037735849,0.1157041540020263,-0.3641763050953422
FIRMS_0043,352.51,301.66,5.22,n,0.43,0.62,1,4962.7,0,0,0,0.1068190776507686,0.1591555622099116,-0.2085216268560361
FIRMS_0044,342.66,307.47,7.84,n,0.43,0.46,1,795.57,0,3,3,0.1462140992167102,0.2167707404103479,-0.2949852507374631
FIRMS_0045,331.75,303.32,2.74,l,0.43,0.46,1,4436.1,0,0,0,0.5131123206333498,0.0135483870967741,-0.5305305305305306
FIRMS_0046,341.58,307.54,3.66,n,0.43,0.46,1,4462.78,0,0,0,0.166590178981184,0.3122294372294372,-0.3157349896480331
FIRMS_0047,337.01,303.85,3.44,n,0.43,0.46,1,1275.92,0,0,7,0.3883417620441842,0.0674056856785267,-0.4742792538157151
FIRMS_0048,337.89,307.64,7.92,n,0.44,0.46,1,2141.48,0,0,0,0.1518357187305538,0.2093122597180692,-0.2712912087912087
FIRMS_0049,347.87,306.96,7.92,n,0.44,0.46,1,2375.75,0,0,0,0.1277941796710248,0.3072538860103627,-0.2351039260969976
FIRMS_0050,332.92,305.36,7.92,l,0.44,0.46,1,2014.24,0,0,0,0.1216805390408244,0.287871162556618,-0.2261698440207972
FIRMS_0051,332.33,305.78,5.06,l,0.44,0.46,1,4302.94,0,0,0,0.1814385150812065,0.2856341189674523,-0.3116950025759917
FIRMS_0052,312.46,290.99,1.32,n,0.42,0.45,0,312.77,1,3,7,0.0734664764621968,0.1504374823595822,-0.1734892787524366
FIRMS_0053,338.29,313.2,4.95,l,0.46,0.39,1,3707.3,0,0,0,0.5249679897567221,0.0205592105263157,-0.5568627450980392
FIRMS_0054,343.68,305.4,5.74,n,0.45,0.39,1,2001.32,0,0,0,0.1230734867098503,0.1464946528602953,-0.2523038605230386
FIRMS_0055,305.62,288.62,0.88,n,0.48,0.4,0,434.21,1,8,24,0.5356019445238777,-0.0120618168111571,-0.5529207634470792
FIRMS_0056,340.21,306.28,6.63,n,0.57,0.52,1,4567.73,0,0,0,0.3975240715268225,0.1233822260569456,-0.4696239151398264
FIRMS_0057,342.71,300.3,5.74,n,0.59,0.7,1,4721.89,0,0,0,0.1659087081017349,0.0400776591318818,-0.3393962848297213
FIRMS_0058,346.77,299.25,7.43,n,0.58,0.7,1,4843.12,0,0,0,0.2041716807059767,0.0806920839075179,-0.3751717819514429
FIRMS_0059,330.62,301.69,3.76,l,0.56,0.69,1,4775.49,0,0,0,0.145446507515473,0.1671488267438123,-0.2535074987905176
FIRMS_0060,339.03,300.99,3.09,n,0.54,0.68,1,922.53,0,1,23,0.0011280315848843,0.0446716899892357,-0.0418195157740278
FIRMS_0061,339.35,300.36,4.43,n,0.54,0.68,1,1771.81,0,0,2,0.7550260610573343,-0.329385222786238,-0.629450397511234
FIRMS_0062,330.37,300.86,3.58,l,0.55,0.68,1,4253.98,0,0,0,0.3364847443059733,0.0011241368235105,-0.4718409843823947
FIRMS_0063,305.97,294.65,1.5,n,0.52,0.67,0,516.34,0,4,9,0.1273854961832061,0.1427534917467803,-0.2680440032197478
FIRMS_0064,331.98,301.5,3.98,n,0.54,0.51,1,4581.92,0,0,0,0.1859459459459459,0.1649857278782112,-0.3024636390620362
FIRMS_0065,345.96,301.73,12.56,n,0.54,0.51,1,2410.09,0,0,0,0.5013477088948787,-0.0491618007157656,-0.552396878483835
FIRMS_0066,343.78,304.44,12.56,n,0.54,0.51,1,2670.75,0,0,0,0.2153256704980843,0.2165321916680388,-0.3961267605633803
FIRMS_0067,367.0,304.55,21.75,h,0.54,0.51,1,2723.66,0,0,0,0.1540923639689072,0.0850652489125181,-0.3482905982905983
FIRMS_0068,342.59,301.31,5.12,n,0.54,0.51,1,5611.87,0,0,0,0.5827746260959258,-0.1043540842029507,-0.5926310326933056
FIRMS_0069,340.29,300.68,4.98,n,0.54,0.51,1,6006.32,0,0,0,0.3109465891062929,0.1736666666666666,-0.4362688296639629
FIRMS_0070,332.81,297.94,4.67,n,0.54,0.51,1,5980.01,0,0,0,0.1749494949494949,0.1175845850402063,-0.2898647150144156
FIRMS_0071,304.41,292.97,1.08,n,0.53,0.5,0,2176.93,0,0,0,0.2448361332966125,0.1621872103799814,-0.3950617283950617
FIRMS_0072,341.08,307.79,4.38,n,0.45,0.39,1,1711.19,0,0,1,0.199203187250996,0.1216807703530784,-0.3629160063391442
FIRMS_0073,336.4,305.29,3.65,n,0.45,0.39,1,7391.68,0,0,0,0.2491213562125284,0.0740229885057471,-0.3992589161648912
FIRMS_0074,338.0,305.26,2.63,n,0.45,0.39,1,3683.12,0,0,0,0.2282292003884752,0.1683472161332748,-0.3420587194906261
FIRMS_0075,339.23,306.86,3.88,n,0.45,0.39,1,3437.57,0,0,0,0.2108420351033103,0.1213928744156053,-0.3116726835138387
FIRMS_0076,338.67,301.42,2.82,n,0.44,0.38,1,7504.92,0,0,0,0.1638696939782823,0.0808212058212058,-0.3402804092459265
FIRMS_0077,340.11,311.42,5.51,l,0.41,0.37,1,8948.54,0,0,0,0.1627129969929836,0.2613033326257695,-0.3181818181818182
FIRMS_0078,338.93,311.13,5.43,l,0.4,0.37,1,4193.92,0,0,0,0.3280531425651507,0.0617328519855595,-0.4422863485016648
FIRMS_0079,344.97,313.2,5.07,n,0.41,0.37,1,6562.36,0,0,0,0.232237539766702,0.0914777169663799,-0.3761250592136428
FIRMS_0080,337.24,309.96,5.07,l,0.41,0.37,1,6267.52,0,0,0,0.5646704949412087,0.0096919349255797,-0.5464864864864865
FIRMS_0081,343.9,308.71,5.4,n,0.41,0.37,1,5897.89,0,0,0,0.1737689393939394,0.2203176600094354,-0.3023377987916995
FIRMS_0082,340.12,304.95,4.33,n,0.45,0.47,1,3297.65,0,0,0,0.1844144343590879,0.1614420062695925,-0.3558033451596553
FIRMS_0083,330.95,304.52,1.22,l,0.46,0.63,1,2317.72,0,0,0,0.2224222165080997,0.1584351212604,-0.3410437235543018
FIRMS_0084,334.02,305.2,3.82,l,0.46,0.63,1,1921.79,0,0,9,0.1891332470892626,0.170995670995671,-0.300509337860781
FIRMS_0085,347.67,306.38,3.94,n,0.35,0.56,1,6553.87,0,0,0,0.2524485308814711,0.1246158144733165,-0.4144469525959368
FIRMS_0086,334.26,303.57,4.09,n,0.34,0.56,1,5210.27,0,0,0,0.1871022486211285,0.2120529428330048,-0.3432549207873259
FIRMS_0087,340.62,307.91,2.55,n,0.34,0.56,1,3111.58,0,0,0,0.2704849498327759,0.0813180169286578,-0.4134883720930232
FIRMS_0088,334.41,289.49,5.46,n,0.53,0.42,1,2456.49,0,0,0,0.0939287691455988,0.0525811091577433,-0.1865492393915132
FIRMS_0089,338.4,307.26,3.44,n,0.57,0.43,1,3179.84,0,0,0,0.6717495987158909,-0.1659669745312062,-0.6350078492935636
FIRMS_0090,342.66,312.71,12.36,n,0.56,0.43,1,5980.42,0,0,0,0.1775777414075286,0.1476380867762476,-0.3250460405156538
FIRMS_0091,335.18,305.64,5.25,n,0.34,0.56,1,1923.66,0,0,1,0.4545877969259432,0.0183875530410183,-0.5127149430854928
FIRMS_0092,367.0,305.37,5.25,h,0.34,0.56,1,2217.75,0,0,0,0.3723161260849703,0.0377962844330557,-0.4812623274161736
FIRMS_0093,338.38,293.48,6.01,n,0.42,0.61,1,5307.08,0,0,0,0.29979035639413,0.1698744769874477,-0.4078910019869429
FIRMS_0094,304.68,291.02,0.88,n,0.41,0.61,0,683.64,0,3,9,0.5050505050505051,-0.0551006859924762,-0.5017322834645669
FIRMS_0095,339.79,307.57,3.41,n,0.43,0.46,1,2633.57,0,0,0,0.3637608397991784,0.0404624277456647,-0.4337811900191938
FIRMS_0096,335.81,308.14,2.95,l,0.44,0.46,1,6141.7,0,0,0,0.2003205128205128,0.1431431431431431,-0.3574988672405981
FIRMS_0097,339.64,303.6,3.08,n,0.43,0.46,1,3160.76,0,0,0,0.6404663407295976,-0.1843605756177029,-0.5815808556925308
FIRMS_0098,310.99,293.68,0.98,n,0.41,0.45,0,582.15,0,2,7,0.1602708803611738,0.1490066225165563,-0.3160204828090709
FIRMS_0099,340.13,310.76,5.88,l,0.4,0.37,1,7655.08,0,0,0,0.1508085746521248,0.2353823088455772,-0.2734082397003745
FIRMS_0100,337.69,310.07,4.41,l,0.4,0.37,1,5058.6,0,0,0,0.8027228358592345,-0.2734530938123752,-0.7255962626014261
FIRMS_0101,337.68,306.25,4.41,n,0.4,0.37,1,5253.21,0,0,0,0.0221995406991579,-0.0531019978969505,-0.0633045786330457
FIRMS_0102,342.02,312.62,5.38,n,0.39,0.37,1,2653.28,0,0,0,0.1557842441447835,0.1052197802197802,-0.3148970528865563
FIRMS_0103,306.43,293.66,0.59,n,0.39,0.36,0,1325.84,0,0,5,0.2156774916013437,0.0249685647566014,-0.2902305681007844
FIRMS_0104,354.13,318.85,10.27,n,0.47,0.39,1,2101.72,0,0,0,0.2817777777777778,0.1207317073170731,-0.4077448747152619
FIRMS_0105,308.55,295.17,1.49,n,0.48,0.4,0,605.36,0,5,9,0.024804469273743,0.1762169929944314,-0.0803297997644287
FIRMS_0106,305.92,293.34,1.27,n,0.48,0.4,0,1111.95,0,0,2,0.5455271565495208,-0.0041515308770108,-0.5114235500878734
FIRMS_0107,342.72,311.81,5.7,n,0.57,0.52,1,845.4,0,2,3,0.4363982848975702,-0.0001658649859014,-0.4801178203240059
FIRMS_0108,344.51,316.7,12.75,l,0.56,0.51,1,2473.92,0,0,0,0.2243265993265993,0.1155366372757677,-0.3770414201183432
FIRMS_0109,343.41,316.88,10.48,l,0.56,0.51,1,2831.25,0,0,0,0.4016172506738544,-0.0004275331338178,-0.4615865084322298
FIRMS_0110,350.82,324.0,13.4,n,0.44,0.38,1,1179.34,0,0,3,0.2433554817275747,0.1570945945945946,-0.3300755219902265
FIRMS_0111,347.22,320.52,17.01,l,0.44,0.38,1,1502.4,0,0,3,0.3676688023656974,0.020818630910374,-0.4411841080238899
FIRMS_0112,306.08,295.79,0.58,n,0.42,0.38,0,4265.5,0,0,0,0.2190959409594096,0.1767637439651144,-0.3508816764630718
FIRMS_0113,345.71,313.7,6.1,n,0.46,0.47,1,4566.1,0,0,0,0.197151424287856,0.2916389443335551,-0.3690527218174025
FIRMS_0114,332.13,304.33,3.87,l,0.46,0.63,1,5517.76,0,0,0,0.2501936483346243,0.220666344760985,-0.3974025974025974
FIRMS_0115,334.06,306.28,3.02,n,0.46,0.63,1,5576.12,0,0,0,0.1470588235294117,0.0481852315394242,-0.205229793977813
FIRMS_0116,344.44,312.61,3.28,n,0.33,0.56,1,883.66,0,1,6,0.1714129244249726,0.1946536144578313,-0.2920567804288734
FIRMS_0117,347.69,319.39,7.47,l,0.34,0.56,1,5116.65,0,0,0,0.21982414068745,0.0823812387251954,-0.3498452012383901
FIRMS_0118,349.34,320.8,8.63,n,0.34,0.56,1,5093.38,0,0,0,0.1492094861660079,0.1775106082036775,-0.2745205479452055
FIRMS_0119,305.85,295.17,1.14,n,0.32,0.55,0,397.67,1,3,7,0.0886524822695035,0.1057384212059423,-0.2048665620094191
FIRMS_0120,342.18,313.57,27.49,l,0.39,0.36,1,1110.4,0,0,5,0.4143322475570032,0.1284624648735447,-0.4673876309564042
FIRMS_0121,312.07,297.3,1.32,n,0.39,0.36,0,149.8,1,2,7,0.1230502599653379,0.1268527430221366,-0.2458115902224663
FIRMS_0122,344.55,316.62,12.87,l,0.55,0.43,1,990.91,0,1,7,0.2261594580510682,0.1374633431085044,-0.3426533523537803
FIRMS_0123,310.32,296.13,2.46,n,0.39,0.44,0,752.9,0,2,4,0.2098648328195399,0.2385074626865671,-0.2196987807793449
FIRMS_0124,322.87,297.72,2.55,n,0.39,0.44,0,1016.9,0,0,1,0.4197632810349573,0.006739842095128,-0.4574738626730715
FIRMS_0125,340.06,312.98,3.5,n,0.36,0.57,1,4061.98,0,0,0,0.2332170880557977,0.0416666666666666,-0.310632383599722
FIRMS_0126,343.38,312.95,3.64,n,0.36,0.57,1,4139.34,0,0,0,0.5329525483304042,-0.1273021001615508,-0.5434638354346384
FIRMS_0127,338.22,311.25,2.51,l,0.37,0.58,1,4588.11,0,0,0,0.1371061843640607,0.2210231814548361,-0.2441749122247047
FIRMS_0128,340.84,313.57,5.44,l,0.44,0.62,1,77.59,1,3,8,0.1660948536831483,0.0617083468658655,-0.2865731462925852
FIRMS_0129,339.18,311.35,6.86,l,0.42,0.61,1,2474.71,0,0,0,0.4636792452830188,0.0306154326772883,-0.5278188084687346
FIRMS_0130,348.93,312.13,6.46,n,0.42,0.61,1,2250.69,0,0,0,0.3148944888342552,0.0848424354769713,-0.4262222222222222
FIRMS_0131,309.33,297.01,1.59,n,0.4,0.6,0,525.2,0,2,7,0.1707317073170731,0.1532307692307692,-0.3001574803149606
FIRMS_0132,344.9,319.33,8.25,l,0.43,0.46,1,6553.58,0,0,0,0.2454754014784603,0.1937293729372937,-0.3806159932184232
FIRMS_0133,345.98,320.68,8.25,l,0.43,0.46,1,6134.9,0,0,0,0.1477215823735603,0.1688123300090661,-0.2733333333333333
FIRMS_0134,343.51,316.94,7.86,l,0.44,0.46,1,296.99,2,3,10,0.1120354963948973,0.1355895667169648,-0.1970149253731343
FIRMS_0135,344.1,318.96,6.27,l,0.43,0.46,1,1514.18,0,0,1,0.2260832260832261,0.1095186166069481,-0.34115438761145
FIRMS_0136,312.71,298.03,1.76,n,0.41,0.45,0,351.32,1,2,7,0.1594014313597918,0.1500119246362986,-0.2765042979942693
FIRMS_0137,318.14,297.65,1.76,n,0.41,0.45,0,361.96,1,3,8,0.157010428736964,0.1773429454170957,-0.3014011078527207
FIRMS_0138,349.39,322.41,13.7,l,0.4,0.37,1,2703.22,0,0,0,0.1214356929212363,0.1604717121958501,-0.2525612472160356
FIRMS_0139,347.21,321.77,21.37,l,0.4,0.37,1,1059.3,0,0,5,0.0929811866859623,0.0762880293533098,-0.2127659574468085
FIRMS_0140,313.33,299.05,2.05,n,0.49,0.41,0,494.09,1,1,2,0.5768339768339769,-0.1248622842453176,-0.5615600305888351
FIRMS_0141,340.59,312.15,3.38,l,0.59,0.53,1,3807.55,0,0,0,0.2256703826453751,0.1721611721611721,-0.3055198973042362
FIRMS_0142,345.27,316.52,11.94,n,0.57,0.52,1,1043.21,0,0,5,0.1389424106187112,0.114513981358189,-0.2517647058823529
FIRMS_0143,341.37,315.54,12.1,l,0.57,0.52,1,1247.26,0,0,4,0.1371601208459214,0.2283722837228372,-0.2559225892559226
FIRMS_0144,335.66,308.97,4.84,l,0.58,0.7,1,1941.44,0,0,1,0.1826972010178117,0.1387808041504539,-0.3249714937286203
FIRMS_0145,306.99,295.07,2.39,n,0.51,0.66,0,442.54,1,3,9,0.1396309556595979,0.1807562858839833,-0.2635114503816794
FIRMS_0146,348.11,312.04,9.26,n,0.55,0.51,1,622.45,0,1,6,0.0531590413943355,0.0718125960061444,-0.1320843091334894
FIRMS_0147,343.64,311.06,5.51,n,0.56,0.51,1,802.52,0,1,7,0.0319148936170212,0.0438303115648653,-0.0938380990737011
FIRMS_0148,344.12,310.01,11.9,n,0.52,0.5,1,884.33,0,1,14,0.1444947209653092,0.2269763651181744,-0.244342407346671
FIRMS_0149,340.36,311.42,4.35,l,0.55,0.51,1,2590.24,0,0,0,0.0119250425894378,0.0875576036866359,0.2369942196531791
FIRMS_0150,311.47,295.65,1.57,n,0.32,0.54,0,447.25,1,3,7,0.1367682762341516,0.1473087818696883,-0.2715751357875678
FIRMS_0151,343.73,307.64,10.24,n,0.52,0.42,1,3699.31,0,0,0,0.1560369033293221,0.1342745569240012,-0.2684859154929577
FIRMS_0152,345.41,312.14,7.03,n,0.38,0.43,1,670.05,0,9,25,0.231791221826809,0.0063157894736842,-0.2899378881987577
FIRMS_0153,308.8,296.17,1.04,n,0.4,0.44,0,6173.06,0,0,0,0.5189122373300371,-0.0841715193223928,-0.5352323838080959
FIRMS_0154,351.39,308.06,5.29,n,0.44,0.62,1,1773.59,0,0,4,0.3011187812425613,0.0605018906840838,-0.3234866828087167
FIRMS_0155,351.73,312.46,6.35,n,0.43,0.62,1,1479.22,0,0,5,0.2528416266734024,0.116494478090488,-0.3311862587224906
FIRMS_0156,341.48,313.0,2.34,n,0.42,0.61,1,846.06,0,1,2,0.1726773346071172,0.2011064106736088,-0.2938076416337286
FIRMS_0157,309.65,297.31,0.54,n,0.4,0.6,0,226.56,1,2,7,0.0472440944881889,0.10828025477707,-0.1280746395250212
FIRMS_0158,347.21,319.54,13.99,l,0.42,0.45,1,894.71,0,1,1,0.2008260196179659,0.1222641509433962,-0.3309174136944497
FIRMS_0159,346.16,316.38,5.15,l,0.42,0.45,1,3099.52,0,0,0,0.0774237752655018,0.0756796473181484,-0.1442605057303984
FIRMS_0160,312.38,300.23,0.62,n,0.39,0.36,0,176.84,1,3,8,0.1505728314238952,0.2052006783493499,-0.2689530685920577
FIRMS_0161,342.11,308.63,4.78,n,0.57,0.52,1,1666.12,0,0,1,0.1314878892733564,0.1550387596899224,-0.1885506587914584
FIRMS_0162,345.27,309.35,7.52,n,0.59,0.53,1,844.63,0,1,1,0.3239000663276586,0.0048196775801894,-0.3768682455736951
FIRMS_0163,333.68,306.04,2.1,l,0.58,0.7,1,5608.17,0,0,0,0.3163913595933926,0.089764240738029,-0.4260151410874053
FIRMS_0164,308.48,295.55,0.78,n,0.5,0.66,0,370.66,1,2,7,0.1639471639471639,0.1246591351772497,-0.2876790830945558
FIRMS_0165,315.29,295.83,1.14,n,0.48,0.65,0,134.84,6,17,22,0.0817317845828933,0.0408239700374531,-0.1430484266904708
FIRMS_0166,312.79,295.73,0.83,n,0.48,0.65,0,404.42,2,11,21,0.1617989607597204,0.1555092471997916,-0.3048903199839002
FIRMS_0167,343.67,315.0,7.92,l,0.53,0.5,1,3092.76,0,0,0,0.198151001540832,0.0980164714070293,-0.3620599054125065
FIRMS_0168,342.87,317.51,9.16,l,0.44,0.38,1,2446.67,0,0,0,0.2921262837580829,0.069060016442861,-0.391072891072891
FIRMS_0169,311.26,298.74,1.24,n,0.42,0.38,0,574.52,0,1,7,0.1923159939563997,0.130352644836272,-0.2967136150234741
FIRMS_0170,319.84,298.52,1.51,n,0.43,0.38,0,426.59,1,4,24,0.1795952782462057,0.1353522867737948,-0.2986771872824321
FIRMS_0171,337.78,281.28,2.98,n,0.47,0.48,1,4323.79,0,0,0,0.2255607278882776,0.2148569879354751,-0.3605825698848954
FIRMS_0172,348.66,316.61,13.22,n,0.47,0.64,1,4136.45,0,0,0,0.1376486129458388,0.2234445446348061,-0.2668431891732862
FIRMS_0173,367.0,311.37,8.89,h,0.47,0.64,1,521.2,0,5,9,0.0689238210399032,0.1746031746031746,-0.134788189987163
FIRMS_0174,367.0,311.57,11.29,h,0.46,0.64,1,488.08,1,5,9,0.0557491289198606,0.0610474124573907,-0.1203549639489739
FIRMS_0175,337.22,309.51,2.62,l,0.46,0.63,1,2964.09,0,0,0,0.3729055258467023,-0.131316098707403,-0.3847536857245595
FIRMS_0176,307.09,296.65,0.88,n,0.62,0.71,0,3922.1,0,0,0,0.3078101071975497,0.0787486515641855,-0.4095732138646545
FIRMS_0177,334.64,306.02,1.3,l,0.33,0.56,1,3717.0,0,0,0,0.3058040835053911,0.1082563058123139,-0.3758762388204013
FIRMS_0178,306.34,295.51,2.5,n,0.64,0.54,0,484.5,1,4,8,0.1195219123505976,0.1244590617967803,-0.2366748166259168
FIRMS_0179,338.88,312.97,0.91,l,0.51,0.41,1,905.24,0,3,11,0.0465729349736379,0.0498603909054647,-0.1462945139557266
FIRMS_0180,343.24,315.81,11.67,l,0.53,0.42,1,2975.02,0,0,0,0.405392840539284,0.0309344446225356,-0.4632139399806389
FIRMS_0181,309.93,297.58,0.93,n,0.49,0.4,0,2387.22,0,0,0,0.1559485530546623,0.2208777316236229,-0.2706921944035346
FIRMS_0182,310.9,298.49,0.68,n,0.39,0.36,0,309.83,2,6,13,0.2174688057040998,0.1561389961389961,-0.3326829268292683
FIRMS_0183,312.2,298.79,0.76,n,0.39,0.36,0,512.36,0,1,2,0.1383116883116883,0.0524324324324324,-0.1921115266916015
FIRMS_0184,337.54,308.32,4.52,l,0.39,0.44,1,4996.56,0,0,0,0.1915796344647519,0.076163967611336,-0.3305393586005831
FIRMS_0185,334.56,299.93,2.49,n,0.71,0.75,1,363.91,2,7,12,0.3673798021624108,-0.0744757772957339,-0.451171875
FIRMS_0186,335.37,304.1,1.41,n,0.42,0.61,1,5744.55,0,0,0,0.5053507728894173,-0.141363144608727,-0.507501786139557
FIRMS_0187,337.81,308.23,4.08,l,0.42,0.61,1,6915.93,0,0,0,0.1996047430830039,0.1738124404518851,-0.3515920730349588
FIRMS_0188,344.88,308.26,5.45,n,0.42,0.61,1,6890.51,0,0,0,0.3300995659943834,0.0243445692883895,-0.4005376344086021
FIRMS_0189,354.04,308.4,8.38,n,0.42,0.61,1,2543.45,0,0,0,0.2210660437460182,0.1477693789832518,-0.3270251557812139
FIRMS_0190,315.95,297.46,0.98,n,0.4,0.6,0,441.64,1,4,7,0.1176321780925879,0.1565483008781978,-0.2413599325653273
FIRMS_0191,342.75,316.25,0.99,l,0.42,0.45,1,6854.71,0,0,0,0.3337631635503976,-0.0372722714357345,-0.4345815996301433
FIRMS_0192,339.29,313.48,1.29,l,0.42,0.45,1,1236.52,0,0,3,0.2767109798129,-0.0124951190941038,-0.3759617935791987
FIRMS_0193,319.96,299.42,1.2,n,0.41,0.45,0,236.15,1,3,7,0.0448791714614499,0.1042420256494574,-0.1136549468520032
